C2_F1_UniqueSLD,C2_F3_ChatSessionCount,C2_F6_ProductivityHits,C3_F1_FoodDeliveryHits,C3_F2_LateNightDeliveryRatio,C3_F3_MeanInterOrderDays,C3_F4_DietSiteVisits,C3_F5_TrackerBurstCount,C3_F6_SmartScaleUploads,C3_F7_WeighInTimeVarMin,C5_F1_DhcpPerHour,C5_F2_WifiDwellMin,C5_F3_MedianIKS,C5_F4_IKSStd,C5_F5_Sub30sSessions,C5_F6_SessionFano,C6_F1_LongestMiddayIdleMin,C6_F2_DayActiveSessionCount,C6_F3_DayIdleRatio_09_18,C6_F4_UpstreamBpsPerActiveHour,C6_F5_PostChatCount,C6_F6_MedianInterReqSec,C6_F7_InterReqFano,C6_F8_FirstActivityMin,C6_F9_ActivationDelayVsBase28d,C7_F1_MentalHealthSiteVisitsDay,C7_F2_NegativeSelfSearchRatio,C7_F3_SelfAssessmentDwellSec,C7_F4_HelpTherapyLookupHits,C7_F5_AccountDeleteUnsubCount,C7_F6_SettingsPrivacyDwellSec,C7_F7_SocialOutgoingShareUp,C7_F8_CloudUploadBytesToday,C8_F1_MedianPageDwellSec,C8_F2_DNSBurstRatePerHour,C8_F3_NotificationMicroSessionsCount,C8_F4_RepeatedQueryRatio60m,C8_F5_QueryReformulationMax,C8_F6_BackNavShare,C8_F7_SERPTimeToFirstClickSec,C8_F8_MedianIKSsec,C9_F1_CrisisLineHits,C9_F2_SuicideMethodQueryRatio,C9_F3_TherapyBookingVisits,C9_F4_SelfHarmForumVisits,C9_F5_SelfHarmForumUpBytes,C9_F6_SelfHarmForumMeanSessLenSec,C9_F7_WillInsuranceDownloads,C9_F8_CloudBackupUpBytesToday,C9_F9_AccountDeletionRequestsCount,C9_F10_NightSuicideQueryBursts,C9_F11_NightNegativeSearchRatio,n_total_packets_today,n_night_packets_today,night_pkts_today,day_pkts_today,down_bytes_today,up_bytes_today,LateNightShare,LongestInactivityHours,ActiveNightMinutes,ActiveDayMinutes,ND_Ratio,IS,IV,F1_DistinctSocial,F2_MeanSocialDurSec,Date,Fingerprint,F3_LongStreams,F4_DownUpRatio,F5_RevisitRatio,F6_Fano,F7_HourlyCV,F8_NightDayRatioPkts,C2_F2_MedianReplyLatencySec,C2_F4_MeanUpstreamRateBps,C2_F5_PassiveActiveByteRatio,C2_F7_SocialOutgoingShareUp,C4_F1_OnsetDelayFrom2200Min,C4_F2_WakeAfter0400Min,C4_F3_OnsetVar14dMin,C4_F4_SleepDurationZAbs30d,C4_F5_NocturnalMicroSessionCount0106,C4_F6_MeanInterAwakGapMin0106,C4_F7_DaytimeIdleRatio0818,C4_F8_NightDayTrafficRatioBytes
365.0,25.0,18943.0,0.0,,,0.0,0.0,0.0,,0.7832388102818079,48.794241660784316,0.000418,0.23543517210379744,0.0,,,,,177.58071256038647,40752.0,0.0,58.57161763031266,240.08333333333334,,0.0,0.0,,0.0,,,1.0,0.0,,13.309090909090909,0.0,0.8766683561412401,,,,0.000418,0.0,0.0,,0.0,,,,0.0,,0.0,0.0,306116.0,2856.0,9297.0,296819.0,156411134.0,14703683.0,0.009329796547713938,0.1313888888888889,286.0,780.0,0.36666666666666664,2.7503576976535036,1.548478335093072,66.0,1864.2285396799998,2015-03-06,9bc3cc9e5150e1c695ddfe50f8bccc73,0.0,10.637548021131849,0.9970178520364394,6228.981624148921,1.9511914857088999,0.009622025544186862,,133.51924403526192,0.0,1.0,419.70573433333334,1080.1984596833333,,,0.0,,0.0,0.0027190625999988895
11.0,1.0,4325.0,0.0,,,0.0,0.0,0.0,,0.33357261385293735,136.63502383333332,0.00345,0.2896940717953469,0.0,,,,,63.112743055555555,12833.0,0.0,26.065884282550982,240.13333333333333,,0.0,0.0,,0.0,,,1.0,0.0,,22.89089645587213,0.0,0.996355265681949,,,,0.00345,0.0,0.0,,0.0,,,,0.0,,0.0,0.0,76416.0,19003.0,25461.0,50955.0,6599051.0,5452941.0,0.24867828726968175,0.03138888888888889,360.0,780.0,0.46153846153846156,,,4.0,86041.886406,2015-03-07,dc487fdbee31fb25f80bf74bbf0d72bf,0.0,1.2101819916995251,0.9997331716191631,31.045325586264664,0.03803440371105809,0.37293690511235406,,30.5524682199051,0.0,1.0,419.96864216666665,1080.4966085166666,,,0.0,,0.0,0.38640921659436755
10.0,1.0,3687.0,0.0,,,0.0,0.0,0.0,,0.33357636537867125,113.07953788809526,0.0033115,0.2818903203815011,0.0,,,,,62.85664351851852,12860.0,0.0,25.10151413690788,240.48333333333332,,0.0,0.0,,0.0,,,1.0,0.0,,19.138290479499652,0.0,0.9965602904643608,,,,0.0033115,0.0,0.0,,0.0,,,,0.0,,0.0,0.0,76837.0,19003.0,25505.0,51332.0,6620607.0,5430814.0,0.24731574632013223,0.03138888888888889,360.0,780.0,0.46153846153846156,,,4.0,86230.423813,2015-03-08,35053502d15a0b8202c5213a3806d6f7,0.0,1.2190818908546674,0.9997551240296789,25.400437063379478,0.03673284119814665,0.3701979272188888,,30.63395589622231,0.0,1.0,419.95991208333334,1080.48789775,,,0.0,,0.0,0.36151863815479207
524.0,1.0,39731.0,0.0,,,0.0,0.0,0.0,,2.8341767580285397,16.264880292537313,0.000382,0.2260407506596963,0.0,,,,,488.74861111111113,97008.0,0.0,14.814185397554553,240.11666666666667,,0.0,0.0,,0.0,,,1.0,0.0,,30.396108408617096,0.0,0.9081304168386298,,,,0.000382,0.0,0.0,,25.0,,,,0.0,,0.0,0.0,1192583.0,19235.0,28008.0,1164575.0,926736631.0,42227880.0,0.016128856440180684,0.025277777777777777,360.0,780.0,0.46153846153846156,,,96.0,86186.425149,2015-03-09,75008bfc261de44b596f33bf5b66df56,0.0,21.94608469570341,0.9990527940767092,53801.4504910484,3.0103550138899835,0.016516755039392053,,231.13520447751318,0.0,1.0,419.94934565,1080.0989223000001,,,0.0,,0.0,0.0035104450381963723
240.0,1.0,21331.0,0.0,,,0.0,0.0,0.0,,1.1668157290236365,49.63596907592592,0.000267,0.299578403725173,0.0,,,,,263.43542824074075,110440.0,0.0,9.591252713773759,240.08333333333334,,0.0,0.0,,0.0,,,1.0,1155282.0,,34.10701876302988,0.0,0.9461472967220094,,,,0.000267,0.0,0.0,,0.0,,,,1155282.0,,0.0,0.0,355455.0,26036.0,34223.0,321232.0,171670787.0,22760821.0,0.07324696515733356,0.0075,360.0,780.0,0.46153846153846156,,,94.0,86388.962278,2015-03-10,88e02b0ea632705515269575839bcd51,0.0,7.542381138184778,0.9984288875214391,23540.5940213072,1.8878778053029037,0.08105045574538029,,227.1141414670808,0.0,1.0,419.9349528166667,1080.0731821833333,,,0.0,,0.0,0.030507009296033158
425.0,1.0,21382.0,0.0,,,0.0,0.0,0.0,,0.9167516814428552,63.81682950317462,0.002913,0.4544553780847767,0.0,,,,,226.00276620370371,47262.0,0.0,9.751098042091439,240.06666666666666,,0.0,0.0,,0.0,,,1.0,864006.0,,48.158443363446835,0.0,0.9099765258215963,,,,0.002913,0.0,0.0,,0.0,,,,864006.0,,0.0,0.0,369470.0,24192.0,32795.0,336675.0,163594937.0,19526639.0,0.06547757598722495,0.006944444444444444,360.0,780.0,0.46153846153846156,,,67.0,86391.671843,2015-03-11,6f2f36119f69e89a9805a738fde5bbaa,0.0,8.378038688583324,0.9981146221037268,24244.47614040983,1.6555899574675772,0.07185564713744709,,106.0579313322133,0.0,1.0,419.9252812166667,1080.0230294166665,,,0.0,,0.0,0.021705156458100682
102.0,1.0,23722.0,0.0,,,0.0,0.0,0.0,,1.16678042385522,51.29121825246913,0.044916,0.5603730686450362,0.0,,,,,117.22149305555556,36542.0,0.0,9.311676312523987,240.05,,0.0,0.0,,0.0,,,1.0,859638.0,,31.188325225851283,0.0,0.9526406429391504,,,,0.044916,0.0,0.0,,0.0,,,,859638.0,,0.0,0.0,140014.0,38318.0,49245.0,90769.0,20970698.0,10127937.0,0.2736726327367263,0.0077777777777777776,360.0,780.0,0.46153846153846156,,,14.0,86375.130469,2015-03-12,4574e2fd94560139da6520221f47911e,0.0,2.07057942797235,0.9974400803112059,468.4211473892293,0.2904177832400695,0.4221485308860955,,83.39675970255466,0.0,1.0,419.97134124999997,1080.0553788,,,0.0,,0.0,0.6458190395587533
301.0,1.0,20846.0,0.0,,,0.0,0.0,0.0,,1.3334565072574402,43.22941141505376,0.010802,0.5493279747250777,0.0,,,,,272.5722800925926,43003.0,0.0,9.073766210838475,240.0,,0.0,0.0,,0.0,,,1.0,981216.0,,60.04169562195969,0.0,0.8844569694342077,,,,0.010802,0.0,0.0,,0.0,,,,981216.0,,0.0,0.0,394323.0,30110.0,40048.0,354275.0,211918545.0,23550245.0,0.07635872114992025,0.0077777777777777776,360.0,780.0,0.46153846153846156,,,53.0,86391.597739,2015-03-13,49cca429c32b3590a5e27e57b758ce72,0.0,8.998570715506357,0.9980652294085129,22459.648374540033,2.9575188150463982,0.08499047350222284,,127.18542413343708,0.0,1.0,419.89901145,1080.1417933333332,,0.6058273388981499,0.0,,0.0,0.02157549959398289
24.0,1.0,12809.0,0.0,,,0.0,0.0,0.0,,0.9167596856563398,63.81397330555555,0.201618,0.744902036904499,0.0,,,,,113.48458333333333,21525.0,0.0,8.127932940619791,240.06666666666666,,0.0,0.0,,0.0,,,1.0,854400.0,,60.04169562195969,0.0,0.9871756635848494,,,,0.201618,0.0,0.0,,0.0,,,,854400.0,,0.0,0.0,111699.0,27683.0,36718.0,74981.0,10833540.0,9805068.0,0.24783570130439841,0.008055555555555555,360.0,780.0,0.46153846153846156,,,7.0,86391.233427,2015-03-14,362f421f9b4bf027b5548977146c5eae,0.0,1.1048918783633117,0.9992324912056284,59.37696124181953,0.054046211111336936,0.3692001973833371,,89.6666790449944,0.0,1.0,419.98547303333334,1080.03094935,,0.5512165892948054,0.0,,0.0,0.35207203367720225
99.0,1.0,13139.0,0.0,,,0.0,0.0,0.0,,0.916770346877887,63.81304073492063,0.10716500000000001,0.7171872833001611,0.0,,,,,116.44806712962964,23650.0,0.0,8.076535870289284,240.0,,0.0,0.0,,0.0,,,1.0,860510.0,,60.04169562195969,0.0,0.9621962196219622,,,,0.10716500000000001,0.0,0.0,,0.0,,,,860510.0,,0.0,0.0,117071.0,28268.0,37626.0,79445.0,13516411.0,10061113.0,0.2414603104099222,0.0077777777777777776,360.0,780.0,0.46153846153846156,,,10.0,86390.036408,2015-03-15,225c1c9c536d04831d7bed8c18cb6428,0.0,1.343430990189654,0.99707368981112,149.77048115507304,0.18401722014356478,0.3558184907797848,,91.96324403058469,0.0,1.0,419.98889488333333,1080.0204489333332,,0.5209244076034003,0.0,,0.0,0.2962897009635787
148.0,63.0,9753.0,0.0,,,0.0,0.0,0.0,,2.334846249386569,24.401918167575758,0.001577,0.5099410749341645,0.0,,,,,104.24875,28661.0,0.0,41.05561634157834,240.1,,0.0,0.0,,0.0,,,1.0,597285.0,,32.65505226480836,0.0,0.9173728813559322,,,,0.001577,0.0,0.0,,0.0,,,,597285.0,,0.0,0.0,123230.0,28145.0,30073.0,93157.0,45620376.0,9007092.0,0.22839405988801428,0.03138888888888889,360.0,689.0,0.5224963715529753,0.09527586277021945,2.168548826075294,35.0,822.5268273015873,2015-03-16,288d07220a4f9a8d4e29e3293199487e,0.0,5.064939494345123,0.9969598619612998,2636.8969861009673,1.9961814798780968,0.30212437068604614,,497.3635291086017,0.0,1.0,419.97795555,1080.2887860833334,,0.12699826909162282,0.0,,0.09,0.10632543511771705
499.0,49.0,8930.0,0.0,,,0.0,0.0,0.0,,2.2500949228585974,16.39010873899371,0.002293,0.4504350385179356,0.0,,,,,520.1986805555556,46683.0,0.0,37.56105713429325,241.03333333333333,,0.0,0.0,,0.0,,,1.0,106720.0,,29.228630993745657,0.0,0.875204428229966,,,,0.002293,0.0,0.0,,0.0,,,,106720.0,,0.0,0.0,436733.0,5741.0,9176.0,427557.0,176251061.0,44945166.0,0.013145331358060874,0.03138888888888889,301.0,779.0,0.386392811296534,0.12017117844998265,2.1238035297377045,159.0,1239.055495632653,2015-03-17,e6fc7352c849f5543320917333948aa9,0.0,3.9214686847524383,0.9971272308578009,14071.509197952308,1.9577685346411957,0.013427449439489939,,556.3867287061622,0.0,1.0,419.14469518333334,1080.0312268,,0.12159910681648708,0.0,,0.0016666666666666668,0.0035996245829568235
62.0,3.0,12298.0,0.0,,,0.0,0.0,0.0,,4.501510721221566,11.153869254049845,0.057293,0.5054956247900603,0.0,,,,,80.42087962962962,27305.0,0.0,34.90658053199533,240.06666666666666,,0.0,0.0,,0.0,,,1.0,61272.0,,8.255733148019457,0.0,0.9963537523203394,,,,0.057293,0.0,0.0,,0.0,,,,61272.0,,0.0,0.0,182300.0,10305.0,13129.0,169171.0,15905244.0,6948364.0,0.05652770159078442,0.03138888888888889,360.0,768.0,0.46875,0.19327731092436964,2.018208256200326,34.0,28583.591296333336,2015-03-18,eb66d9d03deb00b20f3ab3c363db7430,0.0,2.2890631521319262,0.9991815073466317,1783.8180493082216,2.7233316552873186,0.06091469578119181,,41.377429059826824,0.0,1.0,419.92093225,1080.15369085,,0.11682721970395232,0.0,,0.02,0.041418952716118035
105.0,3.0,16825.0,0.0,,,0.0,0.0,0.0,,43.92346564651101,1.3392059943811332,0.05919,0.6184147345530674,0.0,,,,,112.65653935185185,29333.0,0.0,27.500464879759438,240.26666666666668,,0.0,0.0,,0.0,,,1.0,536920.0,,37.65114662960389,0.0,0.9112058937572702,,,,0.05919,0.0,0.0,,0.0,,,,536920.0,,0.0,0.0,126993.0,8306.0,18435.0,108558.0,25236031.0,9733525.0,0.06540517981306056,0.03138888888888889,360.0,770.0,0.4675324675324675,0.1306293706293707,2.0153855873105355,33.0,28428.820031666663,2015-03-19,93c06e2650ded1f67c479cde7319a2d2,0.0,2.5926918562391323,0.9976784292915892,597.0263025816383,0.8766139848524653,0.07651209491700289,,57.925562894581105,0.0,1.0,419.63314475,1080.1521725,,0.11257129212041445,0.0,,0.016666666666666666,0.05305421819180191
88.0,1.0,21834.0,0.0,,,0.0,0.0,0.0,,41.841699833524366,1.4263202363742107,0.059036,0.5856304558035434,0.0,,,,,129.3203472222222,35771.0,0.0,7.68485972184525,240.0,,0.0,0.0,,0.0,,,1.0,861052.0,,56.789437109103545,0.0,0.9443459766040411,,,,0.059036,0.0,0.0,,0.0,,,,861052.0,,0.0,0.0,149902.0,30320.0,41342.0,108560.0,20872311.0,11173278.0,0.20226548011367426,0.008055555555555555,360.0,780.0,0.46153846153846156,,,46.0,86382.48555,2015-03-20,7316f15c6d6730be87966495cabc2929,0.0,1.8680561783211695,0.998320033599328,383.825325861044,0.4930769508791193,0.2792925571112749,,103.5460480564975,0.0,1.0,419.99175261666664,1080.00367805,,0.622024112971674,0.0,,0.0,0.24660222302233895
31.0,1.0,18607.0,0.0,,,0.0,0.0,0.0,,21.418265431850344,2.788257612930474,0.141563,0.6893632872119989,0.0,,,,,123.72123842592593,27901.0,0.0,6.869665767886499,240.03333333333333,,0.0,0.0,,0.0,,,1.0,854744.0,,60.04169562195969,0.0,0.9759939984996249,,,,0.141563,0.0,0.0,,0.0,,,,854744.0,,0.0,0.0,132054.0,33322.0,43739.0,88315.0,11757015.0,10689515.0,0.2523361655080497,0.0077777777777777776,360.0,780.0,0.46153846153846156,,,15.0,86388.407882,2015-03-21,1a84d0863012c115a47a9ca01e7cd823,0.0,1.0998642127355638,0.9991439065477341,55.201432557892986,0.043765725181578126,0.3773084979901489,,96.40309625077899,0.0,1.0,419.95306658333334,1080.0083068,,0.6031790065250945,0.0,,0.0,0.3818947620262739
32.0,1.0,18350.0,0.0,,,0.0,0.0,0.0,,21.6678080106793,2.7560522502890175,0.163414,0.7002913695009709,0.0,,,,,123.06523148148148,27443.0,0.0,6.747485063396564,240.08333333333334,,0.0,0.0,,0.0,,,1.0,856736.0,,60.04169562195969,0.0,0.9770817417876242,,,,0.163414,0.0,0.0,,0.0,,,,856736.0,,0.0,0.0,131374.0,31399.0,42377.0,88997.0,11220046.0,10632836.0,0.23900467367972353,0.006666666666666667,360.0,780.0,0.46153846153846156,,,15.0,86393.329443,2015-03-22,16d639e375187589037e208c5ed436dc,0.0,1.0552260939602567,0.9990567150100224,57.85291252877703,0.03790964540427859,0.35280964526894165,,95.32078521679483,0.0,1.0,419.9259174833333,1080.0103799166668,,0.6147551181907627,0.0,,0.0,0.3398877826923539
34.0,1.0,20370.0,0.0,,,0.0,0.0,0.0,,21.50354638876326,2.7774885136893204,0.1604795,0.7112685231133937,0.0,,,,,125.12831018518519,27960.0,0.0,6.736910126922366,240.06666666666666,,0.0,0.0,,0.0,,,1.0,850554.0,,60.04169562195969,0.0,0.9753731343283583,,,,0.1604795,0.0,0.0,,0.0,,,,850554.0,,0.0,0.0,133996.0,33393.0,44039.0,89957.0,11830753.0,10811086.0,0.2492089316098988,0.0077777777777777776,360.0,780.0,0.46153846153846156,,,16.0,86369.851189,2015-03-23,cb2165c4bf64641660147b73c175a7c3,0.0,1.0943167966659408,0.9990740236396318,53.50289552590292,0.05349726581818928,0.3712106895516747,,96.84573823910101,0.0,1.0,419.99966711666667,1080.0255622,,0.5534205119838345,0.0,,0.0,0.37239247249562235
33.0,1.0,16771.0,0.0,,,0.0,0.0,0.0,,21.42021480401649,2.7882962689733595,0.159566,0.7130368437872449,0.0,,,,,121.57311342592592,27358.0,0.0,6.676888826206117,240.0,,0.0,0.0,,0.0,,,1.0,854888.0,,60.04169562195969,0.0,0.9755818389927509,,,,0.159566,0.0,0.0,,0.0,,,,854888.0,,0.0,0.0,132890.0,32217.0,42809.0,90081.0,11481964.0,10503917.0,0.24243359169237716,0.006666666666666667,360.0,780.0,0.46153846153846156,,,16.0,86381.971264,2015-03-24,4c62a71da422e0c7099228def6b2e7f9,0.0,1.0931125979003833,0.9991034070531979,51.942428052441024,0.042844110910739384,0.35764478635894364,,92.98278196792413,0.0,1.0,419.9658416166667,1080.0461651,,0.5719449553309341,0.0,,0.0,0.36030977688588134
37.0,1.0,18629.0,0.0,,,0.0,0.0,0.0,,22.08360527631849,2.704017331915564,0.161599,0.7046289828937273,0.0,,,,,125.04908564814815,27087.0,0.0,6.720833455120879,240.21666666666667,,0.0,0.0,,0.0,,,1.0,863194.0,,60.04169562195969,0.0,0.9736943907156673,,,,0.161599,0.0,0.0,,0.0,,,,863194.0,,0.0,0.0,146452.0,32175.0,42678.0,103774.0,25280859.0,10804241.0,0.21969655586813427,0.006666666666666667,360.0,780.0,0.46153846153846156,,,16.0,86390.238789,2015-03-25,b4e1d50d9480ab78391c18b3ba12ee96,0.0,2.339901433150186,0.9990824550526969,1505.9808728381233,0.4932198702012131,0.31004875980496077,,92.67913959070421,0.0,1.0,419.9934362166667,1080.1270139833334,,0.5525378826650991,0.0,,0.0,0.19553635774549805
108.0,1.0,17701.0,0.0,,,0.0,0.0,0.0,,22.086513160075597,2.703787768178954,0.123561,0.6899973417476809,0.0,,,,,120.75087962962964,27943.0,0.0,7.335484473365285,240.11666666666667,,0.0,0.0,,0.0,,,1.0,890800.0,,60.04169562195969,0.0,0.9445266272189349,,,,0.123561,0.0,0.0,,0.0,,,,890800.0,,0.0,0.0,128336.0,31025.0,41100.0,87236.0,12967769.0,10432876.0,0.24174822341353946,0.0075,360.0,780.0,0.46153846153846156,,,17.0,86387.260353,2015-03-26,74aab4e4a445e504d1b1cf3f3cb52c02,0.0,1.2429716408016351,0.9970122828372248,71.17855074872902,0.09563788878074064,0.355644458709707,,93.170416183021,0.0,1.0,419.99943798333334,1080.0598769333333,,0.5053891248303019,0.0,,0.0,0.32634593816147994
